"velocity","Alstom 1MW","Alstom Beluga 9","Andritz Hydro Hammerfest HS1500","Atlantis AR1000","Atlantis AR1500","Atlantis AR2000","MCT SeaGen 600kW","MCT SeaGen-S 2MW","Nova Innovation M100","ORPC TidGen","Orbital Marine Power Orbital O2","Orbital Marine Power SR2000","Sabella D10","Sabella D15","Tidal Energy Pty Ltd DHV","Verdant Gen4","Verdant Gen5","Voith 1 MW test","TTL 1 MW 3 ms Limit","TTL 1 MW 5 ms Limit"
0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0126940211875386,0.0126940211875386
0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0486756842969119,0.0486756842969119
0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131330803852749,0.131330803852749
0.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.307971154277656,0.307971154277656
0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.596105414045872,0.596105414045872
0.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0478805565159,1.0478805565159
0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.70973429625599,1.70973429625599
0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.57563395785056,2.57563395785056
0.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.65387169835496,3.65387169835496
0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.92262196407432,4.92262196407432
0.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.35665055838084,6.35665055838084
0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.88908229944211,7.88908229944211
0.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.48504970236445,9.48504970236445
0.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.111760542854,11.111760542854
0.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.7223573050598,12.7223573050598
0.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.3027306521311,14.3027306521311
0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.8460092924658,15.8460092924658
0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.3388104635312,17.3388104635312
0.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.7887743537119,18.7887743537119
0.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.202773709424,20.202773709424
0.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.5934408942319,21.5934408942319
0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.9639061950645,22.9639061950645
0.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.3276557060965,24.3276557060965
0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00111923681820789,0.00543629311700976,0,25.696974519202,25.696974519202
0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00336123157984804,0.0163259819592619,0,27.0741420062917,27.0741420062917
0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00740696956494471,0.0359767093154457,0,28.4691937190244,28.4691937190244
0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0153377661846836,0.074497721468463,0,29.8910505085945,29.8910505085945
0.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0261362687334536,0.126947590991061,0,31.3387855868112,31.3387855868112
0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0421140270900355,0.204553845865887,0,32.8192790682377,32.8192790682377
0.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0646985213948245,0.314249961060576,0,34.3358135113401,34.3358135113401
0.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0966911750707694,0.469642850343737,0,35.8942670556702,35.8942670556702
0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13686934204864,0.664793947093396,0,37.4904706384835,37.4904706384835
0.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.187526520705922,0.910843100571622,0,39.1293444695758,39.1293444695758
0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250722477978123,1.2177948930366,0,40.8158654901238,40.8158654901238
0.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.324376306558701,1.57554206042798,0,42.5445026161507,42.5445026161507
0.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.409578031624616,1.98937901074814,0,44.3136419591508,44.3136419591508
0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.506970773539464,2.4624294714774,0,46.1417839465748,46.1417839465748
0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.613471563547655,2.97971902294575,0,48.0090185601559,48.0090185601559
0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.728942654995385,3.54057860997759,0,49.9256337175795,49.9256337175795
0.78,0.0346639401957302,0.00748741108227774,0.037905018604031,0.0366633037942763,0.037905018604031,0.0480949742840191,0.0212674826671839,0.0873331628636875,0.00852862918590698,0.00611332140045813,0.0873331628636875,0.0505400248053747,0.0106607864823837,0.0266519662059593,0.00429590210845685,0.851973911693936,4.13815899965626,0,51.8922450000732,51.8922450000732
0.79,0.121787580358996,0.0263061173575432,0.133174719122562,0.128812103640246,0.133174719122562,0.168975901539327,0.0747207397583226,0.306834552858383,0.0299643118025765,0.0214784187000868,0.306834552858383,0.177566292163416,0.0374553897532207,0.0936384743830516,0.0150931348338904,0.982011592443674,4.76977059186927,0,53.9224747092377,53.9224747092377
0.8,0.220651284887554,0.0476606775357116,0.24128218002454,0.233378116992778,0.24128218002454,0.306145747208214,0.135376917636615,0.55591414277654,0.0542884905055215,0.0389139899943578,0.55591414277654,0.321709573366053,0.0678606131319019,0.169651532829755,0.0273453137361145,1.11557208187147,5.41849296909,0,55.9924671046471,55.9924671046471
0.81,0.368943700535909,0.0796918393157563,0.403439936536016,0.390223814700634,0.403439936536016,0.511896157486189,0.226359257257218,0.929525613778981,0.0907739857206036,0.0650667929645287,0.929525613778981,0.537919915381355,0.113467482150755,0.283668705376886,0.0457231928074152,1.25210466060882,6.08165120867141,0,58.1144129239472,58.1144129239472
0.82,0.611155853579048,0.132009664373074,0.668298925888689,0.646406398086818,0.668298925888689,0.847956836281198,0.374964486135982,1.53976072524754,0.150367258324955,0.107783250767328,1.53976072524754,0.891065234518252,0.187959072906194,0.469897682265484,0.0757405449340514,1.39099291818843,6.75625131691525,0,60.3025937073793,60.3025937073793
0.83,0.912121265908481,0.197018193436232,0.997404604270924,0.964731039818193,0.997404604270924,1.26553555597176,0.559616797846539,2.29802020824021,0.224416035960958,0.160861414576815,2.29802020824021,1.32987280569457,0.280520044951197,0.701300112377994,0.113039188484038,1.52955184859298,7.42925183602305,0,62.5318647789355,62.5318647789355
0.84,1.31674992407769,0.284417983600782,1.43986604197896,1.39269806649093,1.43986604197896,1.82694331283209,0.807869965999638,3.31745136071952,0.323969859445265,0.232221595250366,3.31745136071952,1.91982138930528,0.404962324306582,1.01240581076645,0.163184818090949,1.66753941106449,8.09947713945611,0,64.8150465101128,64.8150465101128
0.85,1.8742741864501,0.404843224273222,2.04951882288319,1.98237948437421,2.04951882288319,2.60048823906124,1.14992968337707,4.72209136792286,0.461141735148717,0.3305463957546,4.72209136792286,2.73269176384425,0.576427168935897,1.44106792233974,0.232278799926761,1.80475219963056,8.76593925534844,0,67.1670981962663,67.1670981962663
0.86,2.55076630461207,0.550965521796207,2.7892629540933,2.69789064388344,2.7892629540933,3.53909680007961,1.56498014550741,6.42646184623096,0.627584164670992,0.449852329236167,6.42646184623096,3.7190172721244,0.78448020583874,1.96120051459685,0.316116468130574,1.93950905176675,9.42047253715277,0,69.5615493948537,69.5615493948537
0.87,3.39077079911371,0.732406492608561,3.70780786883084,3.58634532608557,3.70780786883084,4.70457292118408,2.08035090042726,8.54278932978626,0.834256770486939,0.597995253085038,8.54278932978626,4.94374382510779,1.04282096310867,2.60705240777168,0.420218225134162,2.07202271897077,10.0641103492866,0,72.0118684311417,72.0118684311417
